HP2023_DOMAIN,VAR_DOMAIN,VAR_SUBDOMAIN,VAR,VAR_LABEL,VAR_TYPE,VAR_CODE_SRC,DESCRIPTION
HC,Lifestyle,Lifestyle Combinations,H_CALORIE_COOKS,Calorie Conscious Cooks,C,7290,Households with people who use low fat cooking methods or use natural foods such as organic meats and vegetables
HC,Lifestyle,Lifestyle Combinations,H_SMART_HOME,Smart Home Enthusiasts,C,7305,"Households with people who are high tech and use wireless devices such as wireless home security systems, lighting and cooling"
HC,Lifestyle,Lifestyle Combinations,H_FITNESS_TRACK,Fitness Trackers,C,7306,"Households with people who wear fitness sensors like fitbit, jawbone, yadda."
SC,Lifestyle,Smoking,H_SMOKING,Smoking/Tobacco,C,7722,Someone in the household has an interest in smoking / tobacco.
SC,Interests,Interests - General,H_RELIGION,Religious/Inspirational,C,7727,Someone in the household has an interest in religion / inspirational.
ES,Financial,y BA - Retail Cat,H_PURCHACE_CAT,Retail Purchases - Most Frequent Category,C,9154,Indicates the most frequent retail purchase category within the past two years.
SC,Interests,Interests - Books Mags,H_READING,Reading - General,C,7733,Someone in the household has a general interest in reading.
HC,Interests,Interests - Food Cooking,H_LOW_FAT,Cooking - Low Fat,C,7741,Someone in the household has an interest in low fat cooking.
HC,Interests,Interests - Food Cooking,H_VEGETARIAN,Foods - Vegetarian,C,7742,Someone in the household has an interest in vegetarian food.
HC,Interests,Interests - Food Cooking,H_NATURAL_FOOD,Foods - Natural,C,7743,Someone in the household has an interest in natural or organic foods.
SC,Interests,Interests - Sports Leisure,H_RUN_JOG,Exercise - Running/Jogging,C,7750,Someone in the household has an interest in running/jogging for exercise.
SC,Interests,Interests - Sports Leisure,H_WALKING,Exercise - Walking,C,7751,Someone in the household has an interest in walking for exercise.
SC,Interests,Interests - Vehicle,H_AUTO_WORK,Auto Work,C,7756,Someone in the household has an interest in working on vehicles and mechanics.
SC,Interests,Interests - Sports Leisure,H_WOODWORKING,Woodworking,C,7758,Someone in the household has an interest in woodworking.
HC,Interests,Interests - Health Beauty,H_DIETING,Dieting/Weight Loss,C,7771,Someone in the household has an interest in dieting / weight loss.
SC,Interests,Interests - Health Beauty,H_SELF_IMPROVE,Self Improvement,C,7772,Someone in the household has an interest in self improvement.
NE,Interests,Interests - Sports Leisure,H_CAT_OWNER,Cat Owner,C,7773,Someone in the household has an interest in owning a cat or actually owns a cat.
NE,Interests,Interests - Sports Leisure,H_DOG_OWNER,Dog Owner,C,7774,Someone in the household has an interest in owning a dog or actually owns a dog.
SC,Interests,Interests - Sports Leisure,H_FISHING,Fishing,C,7802,Someone in the household has an interest in fishing.
SC,Interests,Interests - Sports Leisure,H_CAMPING,Camping/Hiking,C,7803,Someone in the household has an interest in camping / hiking.
SC,Interests,Interests - Sports Leisure,H_HUNTING,Hunting/Shooting,C,7804,Someone in the household has an interest in hunting / shooting.
SC,Interests,Interests - Sports Leisure,H_BOATING,Boating/Sailing,C,7805,Someone in the household has an interest in boating / sailing.
SC,Interests,Interests - Sports Leisure,H_BIKING,Biking/Mountain Biking,C,7808,Someone in the household has an interest in biking / mountain biking.
SC,Interests,Interests - Sports Leisure,H_SNOW_SKI,Snow Skiing,C,7812,Someone in the household has an interest in snow skiing.
SC,Interests,Interests - Vehicle,H_MOTORCYCLE,Motorcycling,C,7813,Someone in the household has an interest in riding motorcycles.
SC,Interests,Interests - Groupings,H_SPORTS,Sports Grouping,C,7822,"Grouping means that weve taken all the ""Sports"" interest related elements and put them into one element. If any one of the following elements are flagged for a record, then the Sports Grouping element will be flagged as well:  7781 Spectator Sports - Auto / Motorcycle Racing  7782 Spectator Sports - Football  7783 Spectator Sports - Baseball  7784 Spectator Sports - Basketball  7785 Spectator Sports - Hockey  7786 Spectator Sports - Soccer  7787 Spectator Sports - Tennis  7810 Tennis  7811 Golf  7813 Motorcycling  7847 NASCAR  8274 Exercise - Sporty Living  8315 Power Boating"
SC,Interests,Interests - Groupings,H_OUTDOORS,Outdoors Grouping,C,7823,"Grouping means that weve taken all the ""Outdoor"" interest related elements and put them into one element. If any one of the following elements are flagged for a record, then the Outdoors Grouping element will be flagged as well:  7802 Fishing  7803 Camping / Hiking  7804 Hunting / Shooting  7805 Boating / Sailing  7806 Water Sports  7807 Scuba Diving  7808 Biking / Mountain Biking  7812 Snow Skiing  7814 Equestrian"
SC,Interests,Interests - Groupings,H_EXERCISE,Exercise/Health Grouping,C,7827,"Grouping means that weve taken all the ""Exercise / Health"" interest related elements and put them into one element. If any one of the following elements are flagged for a record, then the Exercise/Health Grouping element will be flagged as well:  7750 Exercise - Running / Jogging  7751 Exercise - Walking  7752 Exercise - Aerobic  7770 Health / Medical   7808 Biking / Mountain Biking  8274 Sporty Living  7771 Dieting / Weight Loss"
NE,Interests,Interests - Groupings,H_HOME_IMPROVE,Home Improvement Grouping,C,7830,"Grouping means that weve taken all the ""Home Improvement"" interest related elements and put them into one element. If any one of the following elements are flagged for a record, then the Home Improvement Grouping element will be flagged as well:  7815 Home Furnishings / Decorating  7816 Home Improvement  7851 Home Improvement - Do-It-Yourselfers  8272 DIY Living"
SC,Interests,Interests - General,H_CAREER,Career,C,7841,These are Career Minded people who focus on career and look for opportunities to move higher in their company with a goal to have executive status.
ES,Financial,y BA - CCard Type,H_BANK_CARD,Credit Card Indicator - Bank Card,C,8621_01,Indicates possession of VISA or Mastercard bankcard(s) in a household.
ES,Financial,y BA - CCard Type,H_PREMIUM_CARD,Credit Card Indicator - Premium,C,8621_05,Indicates possession of premium credit card(s) in a household. Premium credit cards would be Gold or Platinum level.
ES,Household,Prop - Owner Renter 3,H_OWN_RENT,Home Owner / Renter - 100%,C,7606_01,"Indicates whether a household is owner or renter occupied.  This element includes 1) 8606 Home Owner/Renter, 2) an inference rule that fills in missing data by inferring renter coverage up to the household level match rate of the file being appended, and 3) a mode calculation of the ZIP+4 and ZIP.  
1) For the 8606 Home Owner/Renter portion, it is fed by property data, self-reported data and address data which indicates the home is owned by the household or rented by the household, i.e., home purchase date, loan information, some indications in the address field that would indicate the property is a rental. 
2) For the inference rule inferred portion, since the home ownership coverage in 8606 Home Owner/Renter is above the census percentage of home owners in the U.S., the rule only infers renters. 
3) For the mode portion, the most frequently occurring value of O or R for the ZIP+4 or ZIP is used.  Our nationally represented consumer file is used to do the mode calculation.
This element includes an indicator of the level of data appended."
NE,Property,Prop - Details - RP,H_HOME_EXTERIOR,Home Exterior (Real Property data only),C,8444,Indicates the type of exterior of the residence.
NE,Property,Prop - Details - RP,H_HOME_ROOF_TYPE,Home Roof Type (Real Property data only),C,8445,Indicates the type of roof of the residence.
SC,Political,Political Party - 0 Person,P_POLITIC_PARTY,Political Party - Person,C,8531,Indicates the political party associated with the person for voting purposes.
NE,Property,Prop - type - RP,H_HOME_TYPE,Home Property Type Detail (Real Property data only),C,8581,Indicates the specific kind of home.
NE,Property,Prop - Details - RP,H_HOME_BUILD_YR,Home Year Built - Actual (Real Property data only),N,8592,Indicates the year that home was constructed.
SC,Property,Prop - type,H_DWELLING_TYPE,Dwelling Type,C,8608,"Indicates if more than one family lives at a particular address. Single-family dwelling units are defined as residential buildings housing one family or household, such as a house. The building does not share an inside wall with any other house or dwelling. It does not touch any other dwelling. Multi-family dwelling units are defined as residential buildings housing more than one household. i.e., Multiple separate housing units for residential inhabitants are contained within one building or several buildings within one complex, such as an apartment building. Condos are coded as multi-family dwelling units."
SC,Occupation,Occupation,H_WOMAN_WORKING,Woman in the Workplace,C,8619,"Indicates that a working woman is present in the household. There is a female in household with an occupation status not equal to Homemaker or retired. The absence of a positive indicator in this field does NOT indicate there is not a working woman in the household, only that the information was not available."
SC,Occupation,Occupation - 0 Person,P_OCCUPATION,Occupation - Person,C,8637,Indicates the occupation of the input individual's name appearing on the customer's file.
ES,Household,Prop - Owner Renter 3,H_RENT_PREC,Home Owner / Renter - 100% - Precision Level,C,7606_02,"Indicates the precision of the data appended: Household, Household Inferred, ZIP+4 or ZIP"
SC,Household,People in the HH,H_GENERATIONS_IN,Generations in Household,N,8652,Indicates the number of family generations in a household.
ES,Household,Prop - LOR 3,H_HOME_LENGTH,Home Length of Residence - 100%,N,7607_01,"Indicates the years a household has lived at their address.   This element includes 1) 8607 Home Length of Residence, 2) a model/inference that fills in missing data by inferring length of residence coverage up to the household level match rate of the file being appended, and 3) a mode calculation of the ZIP+4 and ZIP.  
1) For the 8607 Length of Residence portion, it is fed by Purchase Date of Home, Move Date, other information where a person has indicated their household's length of residence, or the source has inferred a length of residence from a first-seen date, the date a landline phone was connected, etc. 
2) For the modeled/inferred portion, a question on a syndicated survey file is used to target the inferred data.
3) For the mode portion, the most frequently occurring length of residence value of 00-15+ for the ZIP+4 or ZIP is used.  Our nationally represented consumer file is used to do the mode calculation.
This element includes an indicator of the level of data appended."
ES,Household,Prop - LOR 3,H_HOME_PREC,Home Length of Residence - 100% - Precision Level,C,7607_02,"Indicates the precision of the data appended: Household, Household Inferred, ZIP+4 or ZIP"
ES,Income,Income 8,H_INCOME,Income - Estimated Household - Narrow Ranges - 100%,C,7671_01,"Indicates the estimated household income in narrow ranges. 
This income uses 9671 Income as it's foundation.  7671 Income 100% fills in the missing data in 9671 Income Plus with the mode of the ZIP9, up to 100% coverage.

Description of 9671 Income Plus:  9671 Income Plus uses 8671 Income as it's foundation.  9671 Income Plus fills in the missing data in 8671 Income with inferred income, up to the household level match rate, generally 88%-93%, but it depends on the client file.
Description of 8671 Income: 8671 Income is about 3-5% consumer self-reported via indicating their income on product registrations and website memberships, and about 95-98% modeled from the sources, based on a variety of demographic factors, including age, occupation, home ownership, and median income for the local area.  Acxiom blends all of the source income data (the self-reported and the modeled data from the sources) into the Acxiom household level income elements using several rules including recency, commonality, and hierarchy.  
This income element has different ranges/values than the other income elements."
ES,Income,Income 9,H_INCOME_PREC,Income - Estimated Household - Narrow Ranges - 100% - Precision Level,C,7671_02,"Indicates the precision of the data appended: Household, Household Inferred, ZIP+4 or ZIP"
ES,Interests,Interests - Food Cooking,H_WINE,Food - Wines,C,7731,Someone in the household has an interest in wines.
SC,Ethnicity,Ethnicity - 0 Person,P_RACE,Race Code - Person,C,9533,Indicates the race of the person.
ED,Education,Education - 0 Person,P_EDUCATION,Education Detail - Person,C,9549,Indicates the highest known education of the person.  Includes 'Some College' and 'Some High School'.
SC,Other,Opt out of the direct mail adversising,P_DMA_OPT_OUT,Opt out of the direct mail adversising,C,9557,Opt out of the direct mail adversising
SC,Other,email,P_EMAIL_AVAIL,Email Available Indicator,C,9780,Indicates the person has an email address available.
SC,Interests,Interests - General - Causes,H_CHARITY,Causes Supported Financially - Charitable,C,2076_01,Indicates that the household financially supports charitable causes.
SC,Interests,Interests - General - Causes,H_ANIMAL_WELL,Causes Supported Financially - Animal Welfare,C,2076_02,Indicates that the household financially supports animal welfare causes.
SC,Interests,Interests - General - Causes,H_ARTS_CULTURE,Causes Supported Financially - Arts or Cultural,C,2076_03,Indicates that the household financially supports arts or cultural causes.
SC,Interests,Interests - General - Causes,H_CHILD_CAUSES,Causes Supported Financially - Childrens,C,2076_04,Indicates that the household financially supports children's causes.
SC,Interests,Interests - General - Causes,H_ENVIRONMENT,Causes Supported Financially - Environment or Wildlife,C,2076_05,Indicates that the household financially supports environment or wildlife causes.
HC,Interests,Interests - General - Causes,H_HEALTH_CAUSE,Causes Supported Financially - Health,C,2076_06,Indicates that the household financially supports health-related causes.
SC,Interests,Interests - General - Causes,H_INTERNAT_AID,Causes Supported Financially - International Aid,C,2076_07,Indicates that the household financially supports international aid-related causes.
SC,Interests,Interests - General - Causes,H_POLITICS_CAUSE,Causes Supported Financially - Political,C,2076_08,Indicates that the household financially supports political causes.
SC,Interests,Interests - General - Causes,H_RIGHT_CAUSES,Causes Supported Financially - Politically Conservative,C,2076_09,Indicates that the household financially supports conservative political causes.
SC,Interests,Interests - General - Causes,H_LEFT_CAUSES,Causes Supported Financially - Politically Liberal,C,2076_10,Indicates that the household financially supports liberal political causes.
SC,Interests,Interests - General - Causes,H_RELIGION_CAUSE,Causes Supported Financially - Religious,C,2076_11,Indicates that the household financially supports religious causes.
SC,Interests,Interests - General - Causes,H_VETERAN_AID,Causes Supported Financially - Veterans,C,2076_12,Indicates that the household financially supports veteran-related causes.
SC,Interests,Interests - General - Causes,H_OTHER_CAUSES,Causes Supported Financially - Other,C,2076_13,Indicates that the household financially supports other community causes.
SC,Children,Child - Number 3,H_NUM_CHILD,Number of Children - 100%,N,7602_01,"Indicates the known number of children in the household.  Includes modeled/inferred data added to the value of '0 Number of Children' and includes the mode of the ZIP9 and ZIP to extend the coverage to 100%.
This element includes 2 fields, 7602_01 which indicates the number of children, and 7602_02 which is the precision indicating the level of data that was appended.
This 7602 Number of Children includes a calculated mode of Number of Children from the ZIP9 and ZIP which brings the coverage up to 100%.  The basis of this element is 9602 Number of Children PLUS.  Calculating the mode of the ZIP9 and ZIP can add data to all Number of Children values.
NOTE: For the HOUSEHOLD LEVEL children's data: The children's names are not provided by the sources.  The logic gathers the children's ages from across all the sources into a table to net the data to only the children's ages that exist in a household.  Proprietary logic calculates the netting.  The resulting ages are then populated into the children's age elements, then counted to populate the number of children element and the presence of children element.  Sources that provide an actual Number of Children also contribute.
NOTE: Household level Children's age less than age 16 and gender data in the state of California will have reduced coverage due to the California Consumer Privacy Act (CCPA) regulations."
SC,Children,Child - Number 3,H_CHILD_PREC,Number of Children - 100% - Precision Level,C,7602_02,"Indicates the precision of the data appended: Household, Household Inferred, ZIP+4 or ZIP"
ES,Occupation,Occupation,H_BUSINESS_OWNER,Business Owner,C,2350,Indicates the type of business owned by someone in the household.
ES,Property,Prop - LOR - RP,H_ADDRESS_LENGTH,Home Length of Residence - Broad Ranges (Real Property data only),C,8436,Indicates the total time a household has lived at their current address in ranges.
ES,Property,Prop - Loan - Amount RP 0,H_HOME_LOAN_AMT,Home Loan Amount Total - Original - Ranges (Real Property data only),C,8437,Indicates the total home loan amount for the household in ranges. There may be multiple loans on the home.
ES,Property,Prop - Details - RP,H_HOME_SQFT,Home Square Footage - Ranges (Real Property data only),C,8441,Indicates the size of the home in ranged square footage.
SC,Household,People in the HH - Marital,H_MARRITAL_STAT,Marital Status in the Household - 100%,C,7609_01,"Indicates whether anyone in the household is married.  This element includes 1) 9609 Marital Status in the Household, 2) business rule inferences that create Inferred Married and Inferred Single, 3) inferred/modeled data that fills in missing data by inferring marital status coverage up to the household level match rate of the file being appended, and 4) a mode calculation of the ZIP+4 and ZIP.
1) For the 8609 Marital Status portion, it is fed by consumer self-reported marital data.
2) Inferred Married and Inferred Single, values A and B, are inferred based on business rules.Inferred Married - When the marital status of Married or Single cannot be determined from a source and there are 2 names in the household with gender of Male and Female, within a certain age range of each other, then marital status is set to A ""Inferred Married"".  Inferred Single - When the marital status of Married or Single cannot be determined from a source and there is only one name in the household, then the marital status is set to B ""Inferred Single"".
3) Inferred/Modeled data is used to fill in married and single values up to the household match rate.
4) Mode calculations of married and single at the ZIP+4 and ZIP levels are used to fill in married and single values to increase coverage up to 100%."
SC,Household,People in the HH - Marital,H_MARRITAL_PREC,Marital Status in the Household - 100% - Precision Level,C,7609_02,"Indicates the precision of the data appended: Household, Household Inferred, ZIP+4 or ZIP"
SC,Household,People in the HH - HH Size,H_NUM_PEOPLE,Household Size - 100%,N,7629_01,"Indicates the number of known people in the household, both adults and children.   This element includes 1) 8629 Household Size, 2) an inference rule that fills in missing data by inferring household size coverage up to the household level match rate of the file being appended, and 3) a mode calculation of the ZIP+4 and ZIP.  
1) For the 8629 Household Size portion, it is a sum of Number of Adults and Number of Children. 
2) For the inference rule, since the household size coverage percentage for 2 people in the household is lower than census, the rule only infers the value of 2 people in the household.
3) For the mode portion, the most frequently occurring household size  value of 1-9+ for the ZIP+4 or ZIP is used.  Our nationally represented consumer file is used to do the mode calculation.
This element includes an indicator of the level of data appended.
(Note:  There is a small percentage of Household Size (0.005%) that will not sum to Number of Adults + Number of Children.)"
SC,Household,People in the HH - HH Size,H_PEOPLE_PREC,Household Size - 100% - Precision Level,C,7629_02,"Indicates the precision of the data appended: Household, Household Inferred, ZIP+4 or ZIP"
ES,Property,Prop - Equity - RP,H_HOME_EQUITY,Home Equity Available - Estimated - Actual (Real Property data only),N,8707,Indicates the amount of equity available in the home.
ES,Property,Prop - HMV - RP,H_ASSESSED_VALUE,Home Assessed Value - Actual (Real Property data only),N,8713,"Indicates the assessed value of the home. An assessed value is the dollar value assigned to a property for purposes of measuring applicable taxes. Assessed valuation is used to determine the value of a residence for tax purposes and takes home market value into consideration. County assessments are done periodically, i.e., every 5 years, unless in the cases of an improvement to the property, such as building a home on the property, a home remodel, etc. which would cause a new assessment at that time. This assessed value comes straight from the county offices, not manipulated by the source or Acxiom."
SC,Vehicle,Vehicle,H_TRUCK_OWNER,Vehicle - Truck Owner,C,8165_01,Someone in the household has indicated that they own a truck. This does not include SUVs.
SC,Vehicle,Vehicle,H_MCYCLE_OWNER,Vehicle - Motorcycle Owner,C,8165_02,Someone in the household has indicated that they own a motorcycle.
SC,Vehicle,Vehicle,H_RV_OWNER,Vehicle - Recreational Vehicle Owner,C,8165_03,Someone in the household has indicated that they own a recreational vehicle (RV).
HC,Financial,y BA - Mail Order,H_BUY_MO_HEALTH,Mail Order Buyer Categories - Health,C,8167_20,Indicates a mail order purchase made by the household of health-related items.
ES,Property,Prop - Owner - RP,H_OWNER_TYPE,Home Owner Type (Real Property data only),C,8749,Indicates the type of home owner.
ES,Vehicle,Vehicle,H_VEHICLE_COUNT,Vehicle - Known Owned Number,N,8647,Indicates the total number of vehicles owned in the household.
