"PRODUCT","ATTR_ID","ATTR_NAME","DESCRIPTION","MATCH_RATE","LOE","CAT","SUBCAT","SUBCAT2","DATA_TYPE","LEN","ENCODE_VAL","VALID_VAL","VALID_VAL_CNT","VAL_BINARY_IND","ATTR_LABEL"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"18 = Laos","18 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"19 = Malaysia","19 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"1A = Philippines","1A ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"1B = Vietnam","1B ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"10 = Asian","10 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"20 = African American","20 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"30 = Hispanic","30 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"41 = Albania","41 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"42 = America","42 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"43 = Arabia","43 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"44 = Armenia","44 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"45 = Austria","45 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"46 = Belarus","46 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"47 = Belgium","47 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"48 = Bosnia","48 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"49 = Bulgaria","49 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4A = Canada","4A ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4B = Croatia","4B ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4C = Czech","4C ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4D = Denmark","4D ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4E = Dutch","4E ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4F = Egypt","4F ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4G = England","4G ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4H = Estonia","4H ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4I = Finland","4I ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4J = France","4J ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4K = Germany","4K ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4L = Greece","4L ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4M = Hungary","4M ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4N = Iceland","4N ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4O = Iran","4O ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4P = Ireland","4P ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4Q = Italy","4Q ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4R = Jewish","4R ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4S = Latvia","4S ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4T = Lithuania","4T ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4U = Luxembourg","4U ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4V = Malta","4V ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4W = Moldavia","4W ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4X = Netherlands","4X ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4Y = Norway","4Y ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"4Z = Poland","4Z ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"51 = Portugal","51 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"52 = Romania","52 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"53 = Russia","53 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"54 = Scandinavia","54 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"55 = Scotland","55 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"56 = Serbia","56 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"57 = Slovakia","57 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"58 = Slovenia","58 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"59 = Solomon Islands","59 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"5A = Sweden","5A ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"5B = Switzerland","5B ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"5C = Turkey","5C ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"5D = Ukraine","5D ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"5E = Wales","5E ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3806","Country of Origin (High Detail) - Person","Likely Country of Origin of the person, based on a surname/heritage of surname table.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",2,"40 = White","40 ",64,0,"P_COUNTRY_ORIGIN"
"infoBase","3807","Hispanic Language Preference - Person","Likely Hispanic language preference (does or does not speak Spanish) of the person. This data is fully modeled.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",1,"S = Prefers Spanish","S ",4,0,"P_HISPANIC_LANG"
"infoBase","3807","Hispanic Language Preference - Person","Likely Hispanic language preference (does or does not speak Spanish) of the person. This data is fully modeled.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",1,"E = Does Not Speak Spanish","E ",4,0,"P_HISPANIC_LANG"
"infoBase","3807","Hispanic Language Preference - Person","Likely Hispanic language preference (does or does not speak Spanish) of the person. This data is fully modeled.",99.42,"Person","Demographics","Ethnicity","Ethnicity - IB - Modeled - 0 Person","String",1,"B = Bilingual Spanish and English","B ",4,0,"P_HISPANIC_LANG"
